2026-07-02 15:11:12,022 | INFO | app.main | main.py:14 | Starting application...
2026-07-02 15:11:12,022 | INFO | app.database.init_db | init_db.py:14 | Initializing database...
2026-07-02 15:11:12,214 | INFO | app.database.init_db | init_db.py:18 | Database initialized successfully.
2026-07-02 15:13:14,370 | INFO | app.main | main.py:17 | Shutting down application...
2026-07-02 15:29:23,587 | INFO | app.main | main.py:16 | Starting application...
2026-07-02 15:29:23,587 | INFO | app.database.init_db | init_db.py:14 | Initializing database...
2026-07-02 15:29:23,599 | INFO | app.database.init_db | init_db.py:18 | Database initialized successfully.
2026-07-02 18:17:17,767 | INFO | app.main | main.py:19 | Shutting down application...
2026-07-03 16:11:47,493 | INFO | app.main | main.py:16 | Starting application...
2026-07-03 16:11:47,494 | INFO | app.database.init_db | init_db.py:14 | Initializing database...
2026-07-03 16:11:47,507 | INFO | app.database.init_db | init_db.py:18 | Database initialized successfully.
2026-07-03 17:20:37,163 | INFO | app.main | main.py:19 | Shutting down application...
